"order_id";"customer_id";"product_id";"quantity";"unit_price";"order_date";"delivery_status";"payment_method";"region";"discount_applied";"sale_gross_price";"sale_net_price";"total_discount"
"O111047";"C00277";"P0012";2;28.52;"2025-07-06";"Delayed";"Credit Card";"Central";0.05;57.04;54.188;2.852
"O111132";"C00011";"P0020";3;20.81;"2025-07-06";"Delivered";"Credit Card";"Central";0.05;62.43;59.3085;3.1215
"O111885";"C00306";"P0028";1;46.16;"2025-07-06";"Delivered";"Credit Card";"West";0.1;46.16;41.544;4.616
"O112343";"C00420";"P0029";2;45.57;"2025-07-06";"Delayed";"Credit Card";"Central";0.0;91.14;91.14;0.0
"O112464";"C00495";"P0016";1;21.4;"2025-07-06";"Delayed";"Credit Card";"West";0.15;21.4;18.19;3.21
"O112478";"C00471";"P0025";2;9.0;"2025-07-06";"Unknown";"Credit Card";"North";0.2;18.0;14.4;3.6
"O114321";"C00196";"P0024";3;17.48;"2025-07-06";"Delayed";"Bank Transfer";"North";0.2;52.44;41.952;10.488
"O114534";"C00080";"P0015";2;37.3;"2025-07-06";"Delivered";"Credit Card";"East";0.15;74.6;63.41;11.19
"O114581";"C00453";"P0013";1;36.15;"2025-07-06";"Delivered";"Bank Transfer";"Central";0.1;36.15;32.535;3.615
"O114870";"C00470";"P0003";3;45.46;"2025-07-06";"Delayed";"Credit Card";"East";0.05;136.38;129.561;6.819
"O114980";"C00068";"P0008";2;28.14;"2025-07-06";"Delayed";"PayPal";"South";0.0;56.28;56.28;0.0
"O115690";"C00164";"P0012";3;43.28;"2025-07-06";"Delivered";"Credit Card";"North";0.1;129.84;116.856;12.984
"O116202";"C00007";"P0028";4;49.83;"2025-07-06";"Delayed";"Credit Card";"Central";0.2;199.32;159.456;39.864
"O116663";"C00184";"P0018";3;42.31;"2025-07-06";"Delayed";"Credit Card";"Central";0.15;126.93;107.8905;19.0395
"O116986";"C00157";"P0030";2;44.4;"2025-07-06";"Delivered";"Credit Card";"West";0.05;88.8;84.36;4.44
"O118404";"C00469";"P0009";5;33.52;"2025-07-06";"Cancelled";"Credit Card";"West";0.0;167.6;167.6;0.0
"O118449";"C00306";"P0002";3;8.53;"2025-07-06";"Delivered";"PayPal";"Central";0.05;25.59;24.3105;1.2795
"O118589";"C00420";"P0025";2;20.49;"2025-07-06";"Cancelled";"PayPal";"North";0.0;40.98;40.98;0.0
"O119934";"C00145";"P0018";1;31.5;"2025-07-06";"Delivered";"Credit Card";"East";0.2;31.5;25.2;6.3
"O120380";"C00048";"P0010";4;44.11;"2025-07-06";"Delivered";"PayPal";"South";0.1;176.44;158.796;17.644
"O120610";"C00192";"P0018";2;45.6;"2025-07-06";"Cancelled";"Credit Card";"North";0.0;91.2;91.2;0.0
"O121091";"C00276";"P0022";4;12.88;"2025-07-06";"Cancelled";"Credit Card";"Central";0.2;51.52;41.216;10.304
"O121108";"C00439";"P0020";3;10.12;"2025-07-06";"Cancelled";"Credit Card";"South";0.15;30.36;25.806;4.554
"O121120";"C00447";"P0025";5;22.43;"2025-07-06";"Delivered";"PayPal";"North";0.2;112.15;89.72;22.43
"O121280";"C00146";"P0023";4;42.45;"2025-07-06";"Delayed";"PayPal";"East";0.0;169.8;169.8;0.0
"O121290";"C00204";"P0024";4;28.36;"2025-07-06";"Delivered";"PayPal";"West";0.0;113.44;113.44;0.0
"O121367";"C00246";"P0002";4;11.64;"2025-07-06";"Delivered";"Credit Card";"North";0.05;46.56;44.232;2.328
"O121860";"C00137";"P0003";4;35.95;"2025-07-06";"Delivered";"Credit Card";"South";0.1;143.8;129.42;14.38
"O122574";"C00215";"P0029";2;12.7;"2025-07-06";"Delivered";"Bank Transfer";"Central";0.2;25.4;20.32;5.08
"O122913";"C00486";"P0020";3;49.8;"2025-07-06";"Delayed";"Credit Card";"South";0.05;149.4;141.93;7.47
"O123514";"C00084";"P0027";4;16.33;"2025-07-06";"Delayed";"Bank Transfer";"East";0.1;65.32;58.788;6.532
"O123914";"C00020";"P0023";2;41.7;"2025-07-06";"Delivered";"Credit Card";"Central";0.0;83.4;83.4;0.0
"O124372";"C00366";"P0023";5;27.42;"2025-07-06";"Delayed";"Credit Card";"Central";0.05;137.1;130.245;6.855
"O124376";"C00468";"P0019";2;25.47;"2025-07-06";"Delivered";"Credit Card";"Central";0.2;50.94;40.752;10.188
"O124495";"C00310";"P0024";5;44.0;"2025-07-06";"Delayed";"Credit Card";"North";0.2;220.0;176.0;44.0
"O125232";"C00173";"P0013";3;10.77;"2025-07-06";"Delayed";"Credit Card";"South";0.0;32.31;32.31;0.0
"O125535";"C00015";"P0029";2;44.82;"2025-07-06";"Delivered";"Bank Transfer";"South";0.2;89.64;71.712;17.928
"O125946";"C00429";"P0001";2;44.95;"2025-07-06";"Delivered";"PayPal";"East";0.05;89.9;85.405;4.495
"O126114";"C00244";"P0015";4;20.01;"2025-07-06";"Delayed";"PayPal";"East";0.05;80.04;76.038;4.002
"O128047";"C00126";"P0008";5;23.64;"2025-07-06";"Delayed";"Bank Transfer";"North";0.2;118.2;94.56;23.64
"O128167";"C00107";"P0004";1;41.02;"2025-07-06";"Delivered";"PayPal";"North";0.15;41.02;34.867;6.153
"O128369";"C00269";"P0013";2;47.19;"2025-07-06";"Delayed";"Bank Transfer";"South";0.0;94.38;94.38;0.0
"O128974";"C00061";"P0014";2;24.23;"2025-07-06";"Cancelled";"Credit Card";"South";0.1;48.46;43.614;4.846
"O128984";"C00405";"P0015";2;11.26;"2025-07-06";"Delivered";"Credit Card";"North";0.0;22.52;22.52;0.0
"O129008";"C00223";"P0007";5;23.11;"2025-07-06";"Delayed";"PayPal";"South";0.1;115.55;103.995;11.555
"O129237";"C00342";"P0022";4;15.33;"2025-07-06";"Delayed";"PayPal";"East";0.0;61.32;61.32;0.0
"O129661";"C00449";"P0006";3;20.46;"2025-07-06";"Delayed";"Bank Transfer";"West";0.0;61.38;61.38;0.0
"O129987";"C00070";"P0001";1;25.34;"2025-07-06";"Delivered";"Credit Card";"West";0.15;25.34;21.539;3.801
"O130206";"C00189";"P0004";2;49.69;"2025-07-06";"Delivered";"Credit Card";"North";0.05;99.38;94.411;4.969
"O130443";"C00030";"P0012";1;23.15;"2025-07-06";"Delayed";"Credit Card";"West";0.2;23.15;18.52;4.63
"O131144";"C00024";"P0006";4;17.23;"2025-07-06";"Delayed";"Credit Card";"Central";0.15;68.92;58.582;10.338
"O131396";"C00003";"P0017";2;47.23;"2025-07-06";"Delayed";"Bank Transfer";"Central";0.05;94.46;89.737;4.723
"O131605";"C00444";"P0015";2;9.42;"2025-07-06";"Delayed";"Credit Card";"North";0.15;18.84;16.014;2.826
"O131648";"C00419";"P0022";3;17.14;"2025-07-06";"Delivered";"PayPal";"East";0.15;51.42;43.707;7.713
"O131701";"C00312";"P0021";3;23.26;"2025-07-06";"Delayed";"PayPal";"West";0.05;69.78;66.291;3.489
"O131726";"C00286";"P0001";1;22.18;"2025-07-06";"Delivered";"Bank Transfer";"North";0.05;22.18;21.071;1.109
"O132177";"C00189";"P0024";5;27.74;"2025-07-06";"Cancelled";"Credit Card";"West";0.15;138.7;117.895;20.805
"O132334";"C00077";"P0022";5;47.51;"2025-07-06";"Delayed";"PayPal";"East";0.15;237.55;201.9175;35.6325
"O132338";"C00466";"P0007";3;30.77;"2025-07-06";"Delivered";"PayPal";"North";0.0;92.31;92.31;0.0
"O132602";"C00156";"P0002";2;21.23;"2025-07-06";"Delayed";"PayPal";"East";0.2;42.46;33.968;8.492
"O132805";"C00417";"P0017";3;43.56;"2025-07-06";"Delayed";"Bank Transfer";"West";0.0;130.68;130.68;0.0
"O132874";"C00179";"P0017";1;22.7;"2025-07-06";"Cancelled";"PayPal";"West";0.2;22.7;18.16;4.54
"O133034";"C00352";"P0024";5;39.74;"2025-07-06";"Delivered";"Credit Card";"South";0.2;198.7;158.96;39.74
"O133035";"C00424";"P0015";1;43.71;"2025-07-06";"Delayed";"Credit Card";"East";0.0;43.71;43.71;0.0
"O133621";"C00218";"P0021";1;48.83;"2025-07-06";"Delayed";"Credit Card";"Central";0.2;48.83;39.064;9.766
"O133670";"C00326";"P0009";3;47.23;"2025-07-06";"Delayed";"PayPal";"North";0.05;141.69;134.6055;7.0845
"O133884";"C00054";"P0020";5;29.67;"2025-07-06";"Cancelled";"Credit Card";"West";0.05;148.35;140.9325;7.4175
"O134437";"C00269";"P0013";4;10.35;"2025-07-06";"Delayed";"Credit Card";"South";0.05;41.4;39.33;2.07
"O135418";"C00263";"P0012";2;29.93;"2025-07-06";"Delivered";"Bank Transfer";"North";0.05;59.86;56.867;2.993
"O135475";"C00456";"P0004";5;9.38;"2025-07-06";"Delivered";"PayPal";"East";0.05;46.9;44.555;2.345
"O136068";"C00421";"P0012";1;21.09;"2025-07-06";"Cancelled";"Credit Card";"East";0.0;21.09;21.09;0.0
"O136583";"C00225";"P0028";5;22.37;"2025-07-06";"Delivered";"Bank Transfer";"West";0.0;111.85;111.85;0.0
"O136608";"C00190";"P0010";3;42.72;"2025-07-06";"Cancelled";"Credit Card";"North";0.1;128.16;115.344;12.816
"O136816";"C00405";"P0011";2;30.67;"2025-07-06";"Delayed";"PayPal";"West";0.05;61.34;58.273;3.067
"O137196";"C00299";"P0003";4;11.01;"2025-07-06";"Cancelled";"PayPal";"South";0.05;44.04;41.838;2.202
"O137580";"C00256";"P0012";1;11.85;"2025-07-06";"Delivered";"Bank Transfer";"North";0.0;11.85;11.85;0.0
"O137702";"C00323";"P0024";2;18.57;"2025-07-06";"Delayed";"Credit Card";"East";0.15;37.14;31.569;5.571
"O137720";"C00034";"P0018";4;22.01;"2025-07-06";"Delayed";"Credit Card";"West";0.2;88.04;70.432;17.608
"O138054";"C00337";"P0001";1;12.44;"2025-07-06";"Delayed";"Bank Transfer";"Central";0.15;12.44;10.574;1.866
"O139220";"C00376";"P0012";2;13.29;"2025-07-06";"Delayed";"Bank Transfer";"East";0.1;26.58;23.922;2.658
"O139338";"C00104";"P0010";3;40.22;"2025-07-06";"Delivered";"Bank Transfer";"South";0.0;120.66;120.66;0.0
"O140000";"C00361";"P0001";3;24.28;"2025-07-06";"Cancelled";"Credit Card";"West";0.2;72.84;58.272;14.568
"O140042";"C00475";"P0002";1;42.6;"2025-07-06";"Delayed";"Bank Transfer";"Central";0.1;42.6;38.34;4.26
"O140828";"C00109";"P0012";2;8.14;"2025-07-06";"Delivered";"Credit Card";"East";0.05;16.28;15.466;0.814
"O140946";"C00251";"";3;22.2;"2025-07-06";"Delivered";"PayPal";"East";0.05;66.6;63.27;3.33
"O141020";"C00108";"P0019";5;23.5;"2025-07-06";"Delayed";"Bank Transfer";"East";0.0;117.5;117.5;0.0
"O141027";"C00433";"P0014";3;23.37;"2025-07-06";"Delivered";"Bank Transfer";"West";0.1;70.11;63.099;7.011
"O141779";"C00099";"P0016";4;19.65;"2025-07-06";"Delayed";"Credit Card";"North";0.2;78.6;62.88;15.72
"O142016";"C00371";"P0004";2;14.22;"2025-07-06";"Delivered";"Bank Transfer";"North";0.0;28.44;28.44;0.0
"O142363";"C00295";"P0018";3;38.94;"2025-07-06";"Delivered";"Bank Transfer";"West";0.2;116.82;93.456;23.364
"O142443";"C00345";"P0018";4;39.93;"2025-07-06";"Delayed";"Credit Card";"North";0.0;159.72;159.72;0.0
"O142459";"C00263";"P0004";5;46.32;"2025-07-06";"Delivered";"Credit Card";"Central";0.05;231.6;220.02;11.58
"O142838";"C00119";"P0015";5;27.91;"2025-07-06";"Delayed";"Bank Transfer";"North";0.05;139.55;132.5725;6.9775
"O142897";"C00196";"P0007";2;32.23;"2025-07-06";"Delivered";"Credit Card";"North";0.1;64.46;58.014;6.446
"O143476";"C00343";"P0015";3;43.64;"2025-07-06";"Delivered";"Bank Transfer";"West";0.1;130.92;117.828;13.092
"O143477";"C00468";"P0029";3;26.71;"2025-07-06";"Delivered";"Bank Transfer";"East";0.1;80.13;72.117;8.013
"O143705";"C00082";"P0022";2;35.28;"2025-07-06";"Delayed";"Credit Card";"Central";0.0;70.56;70.56;0.0
"O143881";"C00024";"P0012";1;21.14;"2025-07-06";"Delivered";"PayPal";"East";0.1;21.14;19.026;2.114
"O143970";"C00033";"P0010";2;29.41;"2025-07-06";"Delayed";"Bank Transfer";"West";0.2;58.82;47.056;11.764
"O144167";"C00249";"P0018";5;18.88;"2025-07-06";"Delivered";"Credit Card";"South";0.15;94.4;80.24;14.16
"O144315";"C00385";"P0012";3;31.59;"2025-07-06";"Delayed";"PayPal";"South";0.05;94.77;90.0315;4.7385
"O144333";"C00157";"P0026";4;40.78;"2025-07-06";"Delayed";"Bank Transfer";"South";0.05;163.12;154.964;8.156
"O144346";"C00243";"P0021";5;38.43;"2025-07-06";"Cancelled";"Credit Card";"West";0.15;192.15;163.3275;28.8225
"O145341";"C00470";"P0024";1;29.47;"2025-07-06";"Cancelled";"PayPal";"East";0.1;29.47;26.523;2.947
"O145449";"C00233";"P0025";1;17.12;"2025-07-06";"Delivered";"Credit Card";"Central";0.05;17.12;16.264;0.856
"O146360";"C00014";"P0004";3;32.63;"2025-07-06";"Delayed";"PayPal";"Central";0.0;97.89;97.89;0.0
"O147181";"C00479";"P0022";5;25.34;"2025-07-06";"Delivered";"Credit Card";"East";0.1;126.7;114.03;12.67
"O147347";"C00253";"P0015";4;13.8;"2025-07-06";"Delayed";"PayPal";"North";0.15;55.2;46.92;8.28
"O147468";"C00038";"P0026";2;45.78;"2025-07-06";"Cancelled";"PayPal";"Central";0.15;91.56;77.826;13.734
"O149485";"C00103";"P0013";2;35.28;"2025-07-06";"Cancelled";"Credit Card";"South";0.1;70.56;63.504;7.056
"O149508";"C00461";"P0028";3;29.01;"2025-07-06";"Delayed";"PayPal";"East";0.15;87.03;73.9755;13.0545
"O149934";"C00053";"P0028";1;34.92;"2025-07-06";"Delivered";"Bank Transfer";"South";0.2;34.92;27.936;6.984
"O150852";"C00324";"P0003";2;24.04;"2025-07-06";"Delivered";"PayPal";"West";0.0;48.08;48.08;0.0
"O150872";"C00140";"P0024";1;30.09;"2025-07-06";"Delayed";"Credit Card";"North";0.05;30.09;28.5855;1.5045
"O151618";"C00378";"P0002";1;39.87;"2025-07-06";"Delayed";"PayPal";"East";0.15;39.87;33.8895;5.9805
"O151706";"C00032";"P0011";5;43.37;"2025-07-06";"Delayed";"Bank Transfer";"North";0.2;216.85;173.48;43.37
"O152215";"C00083";"P0003";5;14.43;"2025-07-06";"Delivered";"PayPal";"East";0.1;72.15;64.935;7.215
"O153203";"C00107";"P0007";3;17.9;"2025-07-06";"Delivered";"Credit Card";"South";0.15;53.7;45.645;8.055
"O153217";"C00245";"P0010";4;41.78;"2025-07-06";"Cancelled";"Credit Card";"West";0.15;167.12;142.052;25.068
"O153450";"C00151";"P0020";5;42.89;"2025-07-06";"Delayed";"Credit Card";"South";0.2;214.45;171.56;42.89
"O154379";"C00430";"P0025";1;46.82;"2025-07-06";"Delivered";"Credit Card";"Central";0.15;46.82;39.797;7.023
"O154573";"C00363";"P0026";3;44.65;"2025-07-06";"Delayed";"Credit Card";"West";0.15;133.95;113.8575;20.0925
"O154588";"C00037";"P0015";4;33.8;"2025-07-06";"Delayed";"Credit Card";"Central";0.0;135.2;135.2;0.0
"O154830";"C00173";"P0012";1;41.12;"2025-07-06";"Delivered";"Credit Card";"North";0.1;41.12;37.008;4.112
"O154851";"C00107";"P0024";2;24.21;"2025-07-06";"Delivered";"PayPal";"West";0.1;48.42;43.578;4.842
"O154936";"C00456";"P0015";1;33.08;"2025-07-06";"Cancelled";"Bank Transfer";"West";0.0;33.08;33.08;0.0
"O154954";"C00157";"P0027";3;25.22;"2025-07-06";"Delayed";"PayPal";"West";0.2;75.66;60.528;15.132
"O155211";"C00413";"P0029";1;33.03;"2025-07-06";"Delivered";"Credit Card";"South";0.05;33.03;31.3785;1.6515
"O155881";"C00360";"P0002";5;41.49;"2025-07-06";"Delayed";"PayPal";"South";0.2;207.45;165.96;41.49
"O156048";"C00389";"P0010";4;38.83;"2025-07-06";"Delivered";"Bank Transfer";"North";0.0;155.32;155.32;0.0
"O156068";"C00264";"P0002";1;9.81;"2025-07-06";"Delayed";"PayPal";"North";0.15;9.81;8.3385;1.4715
"O156158";"C00094";"P0028";2;31.53;"2025-07-06";"Delayed";"Credit Card";"Central";0.1;63.06;56.754;6.306
"O156206";"C00009";"P0005";5;36.32;"2025-07-06";"Delayed";"Bank Transfer";"East";0.15;181.6;154.36;27.24
"O156711";"C00159";"P0004";3;49.07;"2025-07-06";"Delivered";"Credit Card";"West";0.1;147.21;132.489;14.721
"O158134";"C00154";"P0026";2;24.48;"2025-07-06";"Delivered";"Credit Card";"North";0.0;48.96;48.96;0.0
"O158221";"C00443";"P0017";5;21.31;"2025-07-06";"Cancelled";"Credit Card";"South";0.0;106.55;106.55;0.0
"O158674";"C00217";"P0019";4;17.63;"2025-07-06";"Delivered";"Bank Transfer";"West";0.0;70.52;70.52;0.0
"O158886";"C00495";"P0021";4;22.86;"2025-07-06";"Delivered";"PayPal";"South";0.2;91.44;73.152;18.288
"O159491";"C00343";"P0027";2;28.32;"2025-07-06";"Delivered";"PayPal";"South";0.1;56.64;50.976;5.664
"O159941";"C00080";"P0015";3;23.05;"2025-07-06";"Delivered";"Credit Card";"Central";0.15;69.15;58.7775;10.3725
"O160204";"C00500";"P0028";5;37.12;"2025-07-06";"Cancelled";"Credit Card";"North";0.2;185.6;148.48;37.12
"O160700";"C00021";"P0022";3;18.3;"2025-07-06";"Delayed";"Bank Transfer";"Central";0.0;54.9;54.9;0.0
"O160766";"C00217";"P0019";3;44.49;"2025-07-06";"Delivered";"Credit Card";"North";0.15;133.47;113.4495;20.0205
"O161553";"C00113";"P0022";1;37.43;"2025-07-06";"Delayed";"Credit Card";"Central";0.1;37.43;33.687;3.743
"O161630";"C00173";"P0002";1;20.6;"2025-07-06";"Delayed";"Bank Transfer";"South";0.1;20.6;18.54;2.06
"O161749";"C00428";"P0018";2;46.77;"2025-07-06";"Delivered";"Credit Card";"North";0.15;93.54;79.509;14.031
"O161787";"C00041";"P0013";2;37.53;"2025-07-06";"Delayed";"Bank Transfer";"North";0.0;75.06;75.06;0.0
"O162074";"C00161";"P0003";1;27.98;"2025-07-06";"Delayed";"Bank Transfer";"West";0.1;27.98;25.182;2.798
"O162875";"C00245";"P0003";2;11.04;"2025-07-06";"Delayed";"Bank Transfer";"South";0.05;22.08;20.976;1.104
"O163592";"C00275";"P0030";2;34.33;"2025-07-06";"Delayed";"Credit Card";"South";0.1;68.66;61.794;6.866
"O164269";"C00127";"P0026";2;32.76;"2025-07-06";"Delivered";"Bank Transfer";"West";0.1;65.52;58.968;6.552
"O164480";"C00311";"P0010";3;49.13;"2025-07-06";"Cancelled";"Credit Card";"East";0.15;147.39;125.2815;22.1085
"O164487";"C00350";"P0002";1;40.21;"2025-07-06";"Delayed";"PayPal";"South";0.15;40.21;34.1785;6.0315
"O164680";"C00074";"P0029";1;8.79;"2025-07-06";"Delivered";"PayPal";"Central";0.0;8.79;8.79;0.0
"O165062";"C00422";"P0026";3;21.76;"2025-07-06";"Delayed";"PayPal";"Central";0.1;65.28;58.752;6.528
"O165091";"C00402";"P0013";1;19.17;"2025-07-06";"Delivered";"Bank Transfer";"West";0.15;19.17;16.2945;2.8755
"O165398";"C00450";"P0021";1;27.66;"2025-07-06";"Delivered";"Credit Card";"Central";0.1;27.66;24.894;2.766
"O165413";"C00196";"P0027";5;31.89;"2025-07-06";"Cancelled";"Credit Card";"South";0.0;159.45;159.45;0.0
"O165451";"C00326";"P0012";1;46.21;"2025-07-06";"Delivered";"Credit Card";"North";0.05;46.21;43.8995;2.3105
"O166025";"C00190";"P0007";1;29.97;"2025-07-06";"Delayed";"PayPal";"East";0.1;29.97;26.973;2.997
"O166772";"C00137";"P0025";5;25.17;"2025-07-06";"Delivered";"Credit Card";"Central";0.15;125.85;106.9725;18.8775
"O166828";"C00363";"P0012";2;44.21;"2025-07-06";"Delivered";"PayPal";"North";0.15;88.42;75.157;13.263
"O167008";"C00144";"P0013";5;27.87;"2025-07-06";"Delivered";"PayPal";"West";0.2;139.35;111.48;27.87
"O167371";"C00280";"P0018";1;33.51;"2025-07-06";"Delayed";"Credit Card";"Central";0.2;33.51;26.808;6.702
"O167421";"C00119";"P0003";4;44.64;"2025-07-06";"Cancelled";"Bank Transfer";"East";0.15;178.56;151.776;26.784
"O169606";"C00483";"P0002";3;14.52;"2025-07-06";"Delivered";"Bank Transfer";"South";0.0;43.56;43.56;0.0
"O169645";"C00449";"P0003";2;13.32;"2025-07-06";"Delivered";"Credit Card";"West";0.1;26.64;23.976;2.664
"O169970";"C00167";"P0008";4;40.46;"2025-07-06";"Delivered";"Credit Card";"South";0.2;161.84;129.472;32.368
"O170067";"C00041";"P0027";2;35.05;"2025-07-06";"Delivered";"PayPal";"West";0.15;70.1;59.585;10.515
"O170570";"C00076";"P0030";3;28.32;"2025-07-06";"Delivered";"PayPal";"Central";0.15;84.96;72.216;12.744
"O170774";"C00335";"P0003";5;8.65;"2025-07-06";"Delayed";"Credit Card";"Central";0.0;43.25;43.25;0.0
"O170962";"C00174";"P0022";5;29.66;"2025-07-06";"Delayed";"PayPal";"East";0.2;148.3;118.64;29.66
"O171314";"C00476";"P0005";4;48.09;"2025-07-06";"Delivered";"Credit Card";"North";0.0;192.36;192.36;0.0
"O171464";"C00131";"P0025";3;28.09;"2025-07-06";"Delayed";"Credit Card";"East";0.0;84.27;84.27;0.0
"O171538";"C00065";"P0022";5;41.45;"2025-07-06";"Delayed";"PayPal";"West";0.15;207.25;176.1625;31.0875
"O171618";"C00235";"P0006";2;10.97;"2025-07-06";"Cancelled";"Credit Card";"Central";0.2;21.94;17.552;4.388
"O172437";"C00497";"P0007";3;49.03;"2025-07-06";"Cancelled";"Bank Transfer";"South";0.2;147.09;117.672;29.418
"O173065";"C00019";"P0011";1;23.24;"2025-07-06";"Delivered";"PayPal";"East";0.1;23.24;20.916;2.324
"O173252";"C00359";"P0014";4;9.18;"2025-07-06";"Delayed";"Bank Transfer";"South";0.2;36.72;29.376;7.344
"O174098";"C00191";"P0011";4;29.47;"2025-07-06";"Cancelled";"Credit Card";"West";0.05;117.88;111.986;5.894
"O175225";"C00007";"P0021";1;13.04;"2025-07-06";"Delayed";"Credit Card";"Central";0.05;13.04;12.388;0.652
"O175438";"C00159";"P0004";2;40.09;"2025-07-06";"Delayed";"Bank Transfer";"North";0.2;80.18;64.144;16.036
"O175546";"C00344";"P0006";1;36.31;"2025-07-06";"Delivered";"PayPal";"West";0.1;36.31;32.679;3.631
"O175581";"C00037";"P0011";4;35.47;"2025-07-06";"Delayed";"Credit Card";"South";0.15;141.88;120.598;21.282
"O175998";"C00170";"P0016";1;47.46;"2025-07-06";"Delayed";"Bank Transfer";"North";0.05;47.46;45.087;2.373
"O176458";"C00442";"P0014";4;44.81;"2025-07-06";"Delivered";"PayPal";"Central";0.1;179.24;161.316;17.924
"O176495";"C00021";"P0020";3;21.37;"2025-07-06";"Delivered";"Bank Transfer";"East";0.05;64.11;60.9045;3.2055
"O176651";"C00122";"P0023";2;25.29;"2025-07-06";"Delivered";"Bank Transfer";"East";0.0;50.58;50.58;0.0
"O176847";"C00064";"P0003";1;23.47;"2025-07-06";"Cancelled";"Credit Card";"Central";0.15;23.47;19.9495;3.5205
"O178240";"C00478";"P0013";5;33.22;"2025-07-06";"Delayed";"Credit Card";"Central";0.05;166.1;157.795;8.305
"O179117";"C00155";"P0014";2;45.09;"2025-07-06";"Delivered";"Credit Card";"Central";0.15;90.18;76.653;13.527
"O179563";"C00451";"P0022";4;24.1;"2025-07-06";"Delayed";"Credit Card";"Central";0.05;96.4;91.58;4.82
"O180176";"C00220";"P0028";5;28.28;"2025-07-06";"Delayed";"PayPal";"West";0.05;141.4;134.33;7.07
"O180270";"C00017";"P0017";1;9.38;"2025-07-06";"Delivered";"PayPal";"Central";0.2;9.38;7.504;1.876
"O180836";"C00351";"P0022";4;30.13;"2025-07-06";"Delivered";"Credit Card";"South";0.2;120.52;96.416;24.104
"O180874";"C00066";"P0029";4;43.89;"2025-07-06";"Cancelled";"Bank Transfer";"Central";0.2;175.56;140.448;35.112
"O181785";"C00358";"P0006";2;48.61;"2025-07-06";"Cancelled";"Credit Card";"South";0.2;97.22;77.776;19.444
"O182115";"C00257";"P0002";5;11.63;"2025-07-06";"Delivered";"Credit Card";"South";0.1;58.15;52.335;5.815
"O182356";"C00118";"P0023";3;48.67;"2025-07-06";"Delivered";"Credit Card";"North";0.05;146.01;138.7095;7.3005
"O182687";"C00473";"P0009";5;39.44;"2025-07-06";"Cancelled";"Credit Card";"South";0.05;197.2;187.34;9.86
"O183265";"C00051";"P0030";3;48.9;"2025-07-06";"Cancelled";"Bank Transfer";"Central";0.2;146.7;117.36;29.34
