Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Delivery Date Missing
367016,1,2016-01-02,2016-01-09,1633409,63,1487,1,Usd,True
367016,2,2016-01-02,2016-01-09,1633409,63,558,7,Usd,True
367016,3,2016-01-02,2016-01-09,1633409,63,206,3,Usd,True
367017,1,2016-01-02,2016-01-09,1612400,47,1203,4,Usd,True
367018,1,2016-01-02,2016-01-09,1301565,59,1245,2,Usd,True
367018,2,2016-01-02,2016-01-09,1301565,59,1973,4,Usd,True
367018,3,2016-01-02,2016-01-09,1301565,59,731,4,Usd,True
367019,1,2016-01-02,2016-01-09,793573,29,1947,2,Eur,True
367019,2,2016-01-02,2016-01-09,793573,29,1645,7,Eur,True
367019,3,2016-01-02,2016-01-09,793573,29,371,7,Eur,True
367020,1,2016-01-02,2016-01-09,799366,29,448,6,Eur,True
367020,2,2016-01-02,2016-01-09,799366,29,1975,1,Eur,True
367021,1,2016-01-02,2016-01-09,243917,10,1445,4,Cad,True
367021,2,2016-01-02,2016-01-09,243917,10,1624,6,Cad,True
367021,3,2016-01-02,2016-01-09,243917,10,1615,2,Cad,True
367022,1,2016-01-02,2016-01-09,942807,42,1596,1,Gbp,True
367022,2,2016-01-02,2016-01-09,942807,42,1253,7,Gbp,True
367022,3,2016-01-02,2016-01-09,942807,42,663,3,Gbp,True
367022,4,2016-01-02,2016-01-09,942807,42,1194,6,Gbp,True
367023,1,2016-01-02,2016-01-09,129318,2,1139,5,Aud,True
367023,2,2016-01-02,2016-01-09,129318,2,1031,2,Aud,True
367024,1,2016-01-02,2016-01-09,1713253,50,302,8,Usd,True
367024,2,2016-01-02,2016-01-09,1713253,50,2105,5,Usd,True
367025,1,2016-01-02,2016-01-09,1736623,56,1608,1,Usd,True
367025,2,2016-01-02,2016-01-09,1736623,56,1641,2,Usd,True
367025,3,2016-01-02,2016-01-09,1736623,56,1574,3,Usd,True
367026,1,2016-01-02,2016-01-09,1836599,53,2218,2,Usd,True
367026,2,2016-01-02,2016-01-09,1836599,53,78,1,Usd,True
367027,1,2016-01-02,2016-01-09,1482586,53,2451,3,Usd,True
367027,2,2016-01-02,2016-01-09,1482586,53,1645,1,Usd,True
367027,3,2016-01-02,2016-01-09,1482586,53,1728,2,Usd,True
367028,1,2016-01-02,2016-01-11,607356,0,976,1,Eur,False
367028,2,2016-01-02,2016-01-11,607356,0,2017,3,Eur,False
367029,1,2016-01-02,2016-01-09,1260533,66,1607,1,Usd,True
367029,2,2016-01-02,2016-01-09,1260533,66,1223,7,Usd,True
367030,1,2016-01-02,2016-01-09,1843882,51,2010,7,Usd,True
367030,2,2016-01-02,2016-01-09,1843882,51,426,1,Usd,True
367031,1,2016-01-02,2016-01-07,909014,0,120,3,Gbp,False
367031,2,2016-01-02,2016-01-07,909014,0,382,2,Gbp,False
367031,3,2016-01-02,2016-01-07,909014,0,1722,3,Gbp,False
367031,4,2016-01-02,2016-01-07,909014,0,132,1,Gbp,False
368000,1,2016-01-03,2016-01-10,892838,32,1440,1,Eur,True
368001,1,2016-01-03,2016-01-10,1670789,64,1598,3,Usd,True
369000,1,2016-01-04,2016-01-11,1143828,37,2167,9,Gbp,True
369000,2,2016-01-04,2016-01-11,1143828,37,167,1,Gbp,True
369001,1,2016-01-04,2016-01-11,269337,8,1301,1,Cad,True
369001,2,2016-01-04,2016-01-11,269337,8,1649,4,Cad,True
369002,1,2016-01-04,2016-01-11,258316,8,1656,1,Cad,True
369004,1,2016-01-04,2016-01-11,1389462,65,1961,5,Usd,True
369004,2,2016-01-04,2016-01-11,1389462,65,1991,3,Usd,True
369005,1,2016-01-04,2016-01-11,1866637,56,183,3,Usd,True
369006,1,2016-01-04,2016-01-11,734605,28,654,1,Eur,True
369007,1,2016-01-04,2016-01-11,571622,20,2510,3,Eur,True
369007,2,2016-01-04,2016-01-11,571622,20,2103,1,Eur,True
369007,3,2016-01-04,2016-01-11,571622,20,1578,3,Eur,True
369011,1,2016-01-04,2016-01-09,1664824,0,1261,2,Usd,False
369012,1,2016-01-04,2016-01-13,1696695,0,1423,3,Usd,False
369012,2,2016-01-04,2016-01-13,1696695,0,1656,1,Usd,False
369012,3,2016-01-04,2016-01-13,1696695,0,1660,2,Usd,False
369012,4,2016-01-04,2016-01-13,1696695,0,1610,6,Usd,False
370000,1,2016-01-05,2016-01-12,2032025,51,1360,4,Usd,True
370000,2,2016-01-05,2016-01-12,2032025,51,1158,4,Usd,True
370000,3,2016-01-05,2016-01-12,2032025,51,457,2,Usd,True
370001,1,2016-01-05,2016-01-12,1884908,61,1107,3,Usd,True
370001,2,2016-01-05,2016-01-12,1884908,61,1591,3,Usd,True
370001,3,2016-01-05,2016-01-12,1884908,61,1544,7,Usd,True
370003,1,2016-01-05,2016-01-12,2092033,66,836,8,Usd,True
370003,2,2016-01-05,2016-01-12,2092033,66,1529,3,Usd,True
370004,1,2016-01-05,2016-01-12,1473090,43,1251,2,Usd,True
370005,1,2016-01-05,2016-01-12,584095,24,1610,2,Eur,True
370005,2,2016-01-05,2016-01-12,584095,24,1594,4,Eur,True
370006,1,2016-01-05,2016-01-12,661636,16,1272,6,Eur,True
370007,1,2016-01-05,2016-01-12,623659,15,267,1,Eur,True
370007,2,2016-01-05,2016-01-12,623659,15,126,7,Eur,True
370008,1,2016-01-05,2016-01-12,183264,4,2105,1,Aud,True
370010,1,2016-01-05,2016-01-12,1393738,48,1709,3,Usd,True
370010,2,2016-01-05,2016-01-12,1393738,48,2113,10,Usd,True
370010,3,2016-01-05,2016-01-12,1393738,48,2088,2,Usd,True
370011,1,2016-01-05,2016-01-12,1522590,47,32,2,Usd,True
370012,1,2016-01-05,2016-01-12,1780669,53,1585,3,Usd,True
370012,2,2016-01-05,2016-01-12,1780669,53,1689,2,Usd,True
370013,1,2016-01-05,2016-01-12,5097,6,5,2,Aud,True
370014,1,2016-01-05,2016-01-12,1475886,51,1622,2,Usd,True
370014,2,2016-01-05,2016-01-12,1475886,51,2110,1,Usd,True
370014,3,2016-01-05,2016-01-12,1475886,51,1694,2,Usd,True
371000,1,2016-01-06,2016-01-13,728834,30,81,2,Eur,True
371001,1,2016-01-06,2016-01-13,76021,2,77,3,Aud,True
371001,2,2016-01-06,2016-01-13,76021,2,945,2,Aud,True
371001,3,2016-01-06,2016-01-13,76021,2,1033,1,Aud,True
371001,4,2016-01-06,2016-01-13,76021,2,1581,5,Aud,True
371002,1,2016-01-06,2016-01-13,1955971,53,80,4,Usd,True
371002,2,2016-01-06,2016-01-13,1955971,53,2171,3,Usd,True
371003,1,2016-01-06,2016-01-13,778259,28,1074,6,Eur,True
371003,2,2016-01-06,2016-01-13,778259,28,127,2,Eur,True
371003,3,2016-01-06,2016-01-13,778259,28,333,5,Eur,True
371003,4,2016-01-06,2016-01-13,778259,28,1627,4,Eur,True
371003,5,2016-01-06,2016-01-13,778259,28,64,1,Eur,True
371003,6,2016-01-06,2016-01-13,778259,28,1997,3,Eur,True
371004,1,2016-01-06,2016-01-14,1378439,0,1305,8,Usd,False
371005,1,2016-01-06,2016-01-13,1923558,48,58,1,Usd,True
371005,2,2016-01-06,2016-01-13,1923558,48,32,7,Usd,True
371006,1,2016-01-06,2016-01-15,1501383,0,1279,1,Usd,False
371007,1,2016-01-06,2016-01-18,1378439,0,1639,1,Usd,False
371008,1,2016-01-06,2016-01-13,2053617,50,961,1,Usd,True
371008,2,2016-01-06,2016-01-13,2053617,50,1626,7,Usd,True
371010,1,2016-01-06,2016-01-13,1716584,53,2491,5,Usd,True
371010,2,2016-01-06,2016-01-13,1716584,53,1631,7,Usd,True
371011,1,2016-01-06,2016-01-14,776266,0,458,5,Eur,False
371011,2,2016-01-06,2016-01-14,776266,0,1573,3,Eur,False
371011,3,2016-01-06,2016-01-14,776266,0,32,5,Eur,False
371012,1,2016-01-06,2016-01-13,363872,8,147,1,Cad,True
371012,2,2016-01-06,2016-01-13,363872,8,1576,1,Cad,True
371012,3,2016-01-06,2016-01-13,363872,8,1642,3,Cad,True
371014,1,2016-01-06,2016-01-13,1161615,40,89,4,Gbp,True
371014,2,2016-01-06,2016-01-13,1161615,40,337,3,Gbp,True
371015,1,2016-01-06,2016-01-14,1669745,0,1679,5,Usd,False
371015,2,2016-01-06,2016-01-14,1669745,0,1659,1,Usd,False
371015,3,2016-01-06,2016-01-14,1669745,0,1228,1,Usd,False
371015,4,2016-01-06,2016-01-14,1669745,0,1458,4,Usd,False
371016,1,2016-01-06,2016-01-13,879778,32,1704,2,Eur,True
371017,1,2016-01-06,2016-01-13,1918687,61,2084,5,Usd,True
371017,2,2016-01-06,2016-01-13,1918687,61,2365,1,Usd,True
371018,1,2016-01-06,2016-01-13,1041466,36,534,1,Gbp,True
371018,2,2016-01-06,2016-01-13,1041466,36,1667,7,Gbp,True
371018,3,2016-01-06,2016-01-13,1041466,36,1212,7,Gbp,True
371018,4,2016-01-06,2016-01-13,1041466,36,2496,1,Gbp,True
371018,5,2016-01-06,2016-01-13,1041466,36,1200,2,Gbp,True
371018,6,2016-01-06,2016-01-13,1041466,36,1333,2,Gbp,True
371018,7,2016-01-06,2016-01-13,1041466,36,2124,1,Gbp,True
371019,1,2016-01-06,2016-01-13,916074,41,2506,2,Gbp,True
371019,2,2016-01-06,2016-01-13,916074,41,1590,1,Gbp,True
371019,3,2016-01-06,2016-01-13,916074,41,1615,2,Gbp,True
371019,4,2016-01-06,2016-01-13,916074,41,2093,2,Gbp,True
372000,1,2016-01-07,2016-01-22,1413890,0,148,3,Usd,False
372000,2,2016-01-07,2016-01-22,1413890,0,1620,1,Usd,False
372000,3,2016-01-07,2016-01-22,1413890,0,825,3,Usd,False
372001,1,2016-01-07,2016-01-14,1412534,63,1286,1,Usd,True
372001,2,2016-01-07,2016-01-14,1412534,63,1669,3,Usd,True
372002,1,2016-01-07,2016-01-14,1718240,47,1299,7,Usd,True
372003,1,2016-01-07,2016-01-14,527409,19,1604,3,Eur,True
372003,2,2016-01-07,2016-01-14,527409,19,141,4,Eur,True
372003,3,2016-01-07,2016-01-14,527409,19,83,2,Eur,True
372004,1,2016-01-07,2016-01-14,711449,30,922,9,Eur,True
372005,1,2016-01-07,2016-01-14,302130,9,411,3,Cad,True
372005,2,2016-01-07,2016-01-14,302130,9,75,4,Cad,True
372005,3,2016-01-07,2016-01-14,302130,9,1620,3,Cad,True
372005,4,2016-01-07,2016-01-14,302130,9,2366,5,Cad,True
372005,5,2016-01-07,2016-01-14,302130,9,1652,8,Cad,True
372005,6,2016-01-07,2016-01-14,302130,9,1614,8,Cad,True
372006,1,2016-01-07,2016-01-15,2095742,0,125,2,Usd,False
372007,1,2016-01-07,2016-01-14,1982994,61,1148,4,Usd,True
372008,1,2016-01-07,2016-01-14,1214363,53,183,1,Usd,True
372008,3,2016-01-07,2016-01-14,1214363,53,1665,1,Usd,True
372010,1,2016-01-07,2016-01-14,784075,29,90,7,Eur,True
372011,1,2016-01-07,2016-01-14,739625,29,1572,1,Eur,True
372012,1,2016-01-07,2016-01-14,195521,6,468,1,Aud,True
372012,2,2016-01-07,2016-01-14,195521,6,1560,6,Aud,True
372012,3,2016-01-07,2016-01-14,195521,6,1094,2,Aud,True
372012,4,2016-01-07,2016-01-14,195521,6,171,4,Aud,True
372012,5,2016-01-07,2016-01-14,195521,6,2265,2,Aud,True
372013,1,2016-01-07,2016-01-14,1042966,38,1259,2,Gbp,True
372016,1,2016-01-07,2016-01-14,1170323,42,1581,2,Gbp,True
372016,2,2016-01-07,2016-01-14,1170323,42,6,3,Gbp,True
373000,1,2016-01-08,2016-01-14,1367439,0,2509,3,Usd,False
373000,2,2016-01-08,2016-01-14,1367439,0,716,3,Usd,False
373002,1,2016-01-08,2016-01-15,1750554,48,1859,5,Usd,True
373003,1,2016-01-08,2016-01-15,2082534,56,67,3,Usd,True
373004,1,2016-01-08,2016-01-15,460587,24,1765,3,Eur,True
373005,1,2016-01-08,2016-01-15,1763365,65,342,2,Usd,True
373005,2,2016-01-08,2016-01-15,1763365,65,1073,1,Usd,True
373007,1,2016-01-08,2016-01-14,351747,0,103,2,Cad,False
373007,2,2016-01-08,2016-01-14,351747,0,1455,5,Cad,False
373007,3,2016-01-08,2016-01-14,351747,0,1902,2,Cad,False
373008,1,2016-01-08,2016-01-15,536845,23,535,3,Eur,True
373008,2,2016-01-08,2016-01-15,536845,23,2089,3,Eur,True
373008,3,2016-01-08,2016-01-15,536845,23,1612,3,Eur,True
373008,4,2016-01-08,2016-01-15,536845,23,65,2,Eur,True
373009,1,2016-01-08,2016-01-19,1064519,0,1589,4,Gbp,False
373010,1,2016-01-08,2016-01-15,538801,27,2492,6,Eur,True
373010,2,2016-01-08,2016-01-15,538801,27,2288,8,Eur,True
373010,3,2016-01-08,2016-01-15,538801,27,56,2,Eur,True
373011,1,2016-01-08,2016-01-15,82415,4,440,2,Aud,True
374000,1,2016-01-09,2016-01-16,1971983,48,737,5,Usd,True
374000,2,2016-01-09,2016-01-16,1971983,48,1735,3,Usd,True
374000,3,2016-01-09,2016-01-16,1971983,48,103,3,Usd,True
374000,5,2016-01-09,2016-01-16,1971983,48,81,2,Usd,True
374000,6,2016-01-09,2016-01-16,1971983,48,1624,1,Usd,True
374001,1,2016-01-09,2016-01-16,2050933,47,1429,1,Usd,True
374001,2,2016-01-09,2016-01-16,2050933,47,545,1,Usd,True
374002,1,2016-01-09,2016-01-16,320030,8,1991,8,Cad,True
374002,2,2016-01-09,2016-01-16,320030,8,1667,8,Cad,True
374002,3,2016-01-09,2016-01-16,320030,8,2098,3,Cad,True
374002,4,2016-01-09,2016-01-16,320030,8,1695,1,Cad,True
374003,1,2016-01-09,2016-01-16,1188400,38,1606,1,Gbp,True
374005,1,2016-01-09,2016-01-16,239647,8,1197,2,Cad,True
374006,1,2016-01-09,2016-01-16,1387959,65,1622,6,Usd,True
374007,1,2016-01-09,2016-01-16,800548,31,1631,3,Eur,True
374008,1,2016-01-09,2016-01-16,789641,29,1217,4,Eur,True
374009,1,2016-01-09,2016-01-16,728541,30,538,3,Eur,True
374010,1,2016-01-09,2016-01-16,665776,12,1632,3,Eur,True
374010,2,2016-01-09,2016-01-16,665776,12,1048,1,Eur,True
374010,3,2016-01-09,2016-01-16,665776,12,1681,7,Eur,True
374010,4,2016-01-09,2016-01-16,665776,12,2104,4,Eur,True
374010,5,2016-01-09,2016-01-16,665776,12,1673,2,Eur,True
374010,6,2016-01-09,2016-01-16,665776,12,1206,2,Eur,True
374010,7,2016-01-09,2016-01-16,665776,12,961,5,Eur,True
374011,1,2016-01-09,2016-01-16,174622,5,1256,8,Aud,True
374012,1,2016-01-09,2016-01-20,1758208,0,1280,1,Usd,False
374012,2,2016-01-09,2016-01-20,1758208,0,1276,1,Usd,False
374012,3,2016-01-09,2016-01-20,1758208,0,2454,5,Usd,False
374012,4,2016-01-09,2016-01-20,1758208,0,2108,1,Usd,False
374013,1,2016-01-09,2016-01-16,733080,29,533,5,Eur,True
374013,2,2016-01-09,2016-01-16,733080,29,1067,10,Eur,True
374013,3,2016-01-09,2016-01-16,733080,29,1577,6,Eur,True
374015,1,2016-01-09,2016-01-16,1451748,55,107,7,Usd,True
374016,1,2016-01-09,2016-01-16,1535357,45,9,5,Usd,True
374017,1,2016-01-09,2016-01-16,1558964,63,1630,1,Usd,True
374018,1,2016-01-09,2016-01-16,1010049,38,1615,5,Gbp,True
374018,2,2016-01-09,2016-01-16,1010049,38,2075,2,Gbp,True
374019,1,2016-01-09,2016-01-16,193216,6,1109,3,Aud,True
375000,1,2016-01-10,2016-01-18,1084570,0,1636,1,Gbp,False
375000,2,2016-01-10,2016-01-18,1084570,0,88,7,Gbp,False
375000,3,2016-01-10,2016-01-18,1084570,0,2515,1,Gbp,False
376000,1,2016-01-11,2016-01-18,1862500,43,69,1,Usd,True
376001,1,2016-01-11,2016-01-18,813685,32,131,1,Eur,True
376001,2,2016-01-11,2016-01-18,813685,32,1604,1,Eur,True
376003,1,2016-01-11,2016-01-18,797322,30,425,3,Eur,True
376003,2,2016-01-11,2016-01-18,797322,30,2112,4,Eur,True
376003,3,2016-01-11,2016-01-18,797322,30,1297,1,Eur,True
376003,4,2016-01-11,2016-01-18,797322,30,1806,2,Eur,True
376004,1,2016-01-11,2016-01-18,1905050,45,1635,6,Usd,True
376005,1,2016-01-11,2016-01-18,305321,8,1352,3,Cad,True
376005,2,2016-01-11,2016-01-18,305321,8,2114,3,Cad,True
376005,3,2016-01-11,2016-01-18,305321,8,418,2,Cad,True
376005,4,2016-01-11,2016-01-18,305321,8,2096,3,Cad,True
377000,1,2016-01-12,2016-01-19,1589958,64,1625,6,Usd,True
377000,2,2016-01-12,2016-01-19,1589958,64,1730,4,Usd,True
377000,3,2016-01-12,2016-01-19,1589958,64,681,2,Usd,True
377000,4,2016-01-12,2016-01-19,1589958,64,1675,7,Usd,True
377000,5,2016-01-12,2016-01-19,1589958,64,422,2,Usd,True
377002,1,2016-01-12,2016-01-19,1897822,50,1612,1,Usd,True
377002,2,2016-01-12,2016-01-19,1897822,50,858,1,Usd,True
377002,3,2016-01-12,2016-01-19,1897822,50,1595,2,Usd,True
377003,1,2016-01-12,2016-01-19,1129200,40,1942,6,Gbp,True
377004,1,2016-01-12,2016-01-19,1136143,42,460,4,Gbp,True
377004,2,2016-01-12,2016-01-19,1136143,42,740,3,Gbp,True
377005,1,2016-01-12,2016-01-19,1022980,37,1634,1,Gbp,True
377006,1,2016-01-12,2016-01-20,934781,0,1432,1,Gbp,False
377006,2,2016-01-12,2016-01-20,934781,0,1580,1,Gbp,False
377006,3,2016-01-12,2016-01-20,934781,0,1462,1,Gbp,False
377006,4,2016-01-12,2016-01-20,934781,0,1936,1,Gbp,False
377006,5,2016-01-12,2016-01-20,934781,0,1007,1,Gbp,False
377006,6,2016-01-12,2016-01-20,934781,0,320,1,Gbp,False
377007,1,2016-01-12,2016-01-19,86126,6,1665,1,Aud,True
377007,2,2016-01-12,2016-01-19,86126,6,446,3,Aud,True
377007,3,2016-01-12,2016-01-19,86126,6,1176,4,Aud,True
378000,1,2016-01-13,2016-01-20,1062632,37,170,1,Gbp,True
378000,2,2016-01-13,2016-01-20,1062632,37,1646,10,Gbp,True
378000,3,2016-01-13,2016-01-20,1062632,37,1572,1,Gbp,True
378001,1,2016-01-13,2016-01-20,1976355,66,2467,3,Usd,True
378001,2,2016-01-13,2016-01-20,1976355,66,1696,2,Usd,True
378002,1,2016-01-13,2016-01-20,1599716,45,1578,1,Usd,True
378002,2,2016-01-13,2016-01-20,1599716,45,1304,1,Usd,True
378003,1,2016-01-13,2016-01-20,774742,29,1609,1,Eur,True
378003,2,2016-01-13,2016-01-20,774742,29,2128,8,Eur,True
378003,3,2016-01-13,2016-01-20,774742,29,1649,5,Eur,True
378004,1,2016-01-13,2016-01-20,368190,8,2504,1,Cad,True
378004,2,2016-01-13,2016-01-20,368190,8,1646,7,Cad,True
378005,1,2016-01-13,2016-01-20,1470803,44,137,9,Usd,True
378005,2,2016-01-13,2016-01-20,1470803,44,2090,2,Usd,True
378005,3,2016-01-13,2016-01-20,1470803,44,2068,2,Usd,True
378005,4,2016-01-13,2016-01-20,1470803,44,125,4,Usd,True
378005,5,2016-01-13,2016-01-20,1470803,44,137,3,Usd,True
378005,6,2016-01-13,2016-01-20,1470803,44,376,1,Usd,True
378005,7,2016-01-13,2016-01-20,1470803,44,178,5,Usd,True
378006,1,2016-01-13,2016-01-20,917347,38,1266,7,Gbp,True
378006,2,2016-01-13,2016-01-20,917347,38,1621,2,Gbp,True
378007,1,2016-01-13,2016-01-20,707089,30,1582,1,Eur,True
378007,2,2016-01-13,2016-01-20,707089,30,1634,6,Eur,True
378007,3,2016-01-13,2016-01-20,707089,30,424,4,Eur,True
378008,1,2016-01-13,2016-01-20,1035789,39,1619,2,Gbp,True
378009,1,2016-01-13,2016-01-20,270736,8,336,3,Cad,True
378009,2,2016-01-13,2016-01-20,270736,8,2383,1,Cad,True
378009,3,2016-01-13,2016-01-20,270736,8,2248,5,Cad,True
378010,1,2016-01-13,2016-01-20,437389,19,145,3,Eur,True
378010,2,2016-01-13,2016-01-20,437389,19,2387,7,Eur,True
379000,1,2016-01-14,2016-01-21,1171088,39,443,4,Gbp,True
379001,1,2016-01-14,2016-01-21,1165542,40,1253,1,Gbp,True
379001,2,2016-01-14,2016-01-21,1165542,40,1695,8,Gbp,True
379001,3,2016-01-14,2016-01-21,1165542,40,1038,8,Gbp,True
379001,4,2016-01-14,2016-01-21,1165542,40,1597,1,Gbp,True
379001,5,2016-01-14,2016-01-21,1165542,40,1589,2,Gbp,True
379001,6,2016-01-14,2016-01-21,1165542,40,1182,5,Gbp,True
379002,1,2016-01-14,2016-01-24,716015,0,106,2,Eur,False
379002,2,2016-01-14,2016-01-24,716015,0,386,2,Eur,False
379002,3,2016-01-14,2016-01-24,716015,0,1654,3,Eur,False
379004,1,2016-01-14,2016-01-27,245912,0,321,2,Cad,False
379005,1,2016-01-14,2016-01-21,1104029,37,1766,4,Gbp,True
379005,2,2016-01-14,2016-01-21,1104029,37,1558,3,Gbp,True
379005,3,2016-01-14,2016-01-21,1104029,37,1969,3,Gbp,True
379005,4,2016-01-14,2016-01-21,1104029,37,1453,4,Gbp,True
379008,1,2016-01-14,2016-01-21,793968,30,76,3,Eur,True
379008,2,2016-01-14,2016-01-21,793968,30,1648,1,Eur,True
379009,1,2016-01-14,2016-01-21,1556602,61,375,4,Usd,True
379009,2,2016-01-14,2016-01-21,1556602,61,651,3,Usd,True
379011,1,2016-01-14,2016-01-21,1291414,48,1280,3,Usd,True
379011,2,2016-01-14,2016-01-21,1291414,48,1292,1,Usd,True
379011,3,2016-01-14,2016-01-21,1291414,48,1620,4,Usd,True
380000,1,2016-01-15,2016-01-22,1614172,57,1676,3,Usd,True
380000,2,2016-01-15,2016-01-22,1614172,57,2094,5,Usd,True
380001,1,2016-01-15,2016-01-22,1530756,66,641,3,Usd,True
380001,2,2016-01-15,2016-01-22,1530756,66,1069,3,Usd,True
380001,3,2016-01-15,2016-01-22,1530756,66,1687,3,Usd,True
380003,1,2016-01-15,2016-01-22,627789,17,172,3,Eur,True
380004,1,2016-01-15,2016-01-22,1909649,66,1114,1,Usd,True
380004,2,2016-01-15,2016-01-22,1909649,66,272,1,Usd,True
380004,3,2016-01-15,2016-01-22,1909649,66,1697,2,Usd,True
380005,1,2016-01-15,2016-01-22,770856,30,1705,2,Eur,True
380005,2,2016-01-15,2016-01-22,770856,30,154,7,Eur,True
380006,1,2016-01-15,2016-01-22,549983,27,1969,7,Eur,True
381001,1,2016-01-16,2016-01-23,780974,29,2397,3,Eur,True
381001,2,2016-01-16,2016-01-23,780974,29,2398,1,Eur,True
381002,1,2016-01-16,2016-01-26,2042097,0,1283,1,Usd,False
381002,2,2016-01-16,2016-01-26,2042097,0,1345,1,Usd,False
381002,3,2016-01-16,2016-01-26,2042097,0,2510,2,Usd,False
381003,1,2016-01-16,2016-01-23,1631876,61,1619,6,Usd,True
381003,2,2016-01-16,2016-01-23,1631876,61,2079,1,Usd,True
381004,1,2016-01-16,2016-01-23,1914255,53,960,2,Usd,True
381004,2,2016-01-16,2016-01-23,1914255,53,143,4,Usd,True
381005,1,2016-01-16,2016-01-23,1803346,50,1946,10,Usd,True
381006,1,2016-01-16,2016-01-23,1364334,64,1029,1,Usd,True
381007,1,2016-01-16,2016-01-23,1202659,48,1246,1,Usd,True
381007,2,2016-01-16,2016-01-23,1202659,48,97,2,Usd,True
381007,3,2016-01-16,2016-01-23,1202659,48,1590,6,Usd,True
381007,4,2016-01-16,2016-01-23,1202659,48,1779,7,Usd,True
381008,1,2016-01-16,2016-01-23,982850,42,1707,2,Gbp,True
