order_id,product_id,customer_id,total_quantity,discount_rate,Cost,Gross_sales,Net_sales,Actual_Profit,Potential_profit,Discount_value,sale_per_unit,cost_per_unit,profit_per_unit
CA-2014-103989,OFF-ST-10000918,MC-17605,3,0.2000,24.20,32.70,26.16,1.96,8.50,6.54,8.72,8.07,0.65
CA-2014-103989,TEC-AC-10002647,MC-17605,2,0.2000,117.04,212.80,170.24,53.20,95.76,42.56,85.12,58.52,26.60
CA-2014-103989,TEC-PH-10004667,MC-17605,3,0.2000,295.63,404.98,323.98,28.35,109.34,81.00,107.99,98.54,9.45
CA-2014-104178,FUR-FU-10000771,JM-15265,1,0.0000,3.64,6.28,6.28,2.64,2.64,0.00,6.28,3.64,2.64
CA-2014-104178,OFF-PA-10004983,JM-15265,4,0.0000,13.48,25.92,25.92,12.44,12.44,0.00,6.48,3.37,3.11
CA-2014-104178,OFF-ST-10004258,JM-15265,4,0.0000,35.65,48.84,48.84,13.19,13.19,0.00,12.21,8.91,3.30
CA-2014-104178,TEC-AC-10002399,JM-15265,5,0.0000,64.67,95.10,95.10,30.43,30.43,0.00,19.02,12.93,6.09
CA-2014-104269,FUR-CH-10004063,DB-13060,2,0.2000,406.09,571.96,457.57,51.48,165.87,114.39,228.79,203.05,25.74
CA-2014-104283,FUR-TA-10001039,LM-17065,1,0.0000,63.63,85.98,85.98,22.35,22.35,0.00,85.98,63.63,22.35
CA-2014-104283,OFF-ST-10004337,LM-17065,5,0.0000,306.20,306.20,306.20,0.00,0.00,0.00,61.24,61.24,0.00
CA-2014-104283,TEC-AC-10000109,LM-17065,4,0.0000,170.21,223.96,223.96,53.75,53.75,0.00,55.99,42.55,13.44
CA-2014-104402,TEC-MA-10000423,DB-13660,3,0.0000,34.96,65.97,65.97,31.01,31.01,0.00,21.99,11.65,10.34
CA-2014-104472,FUR-FU-10000246,CK-12325,6,0.0000,51.32,73.32,73.32,22.00,22.00,0.00,12.22,8.55,3.67
CA-2014-104472,OFF-BI-10001658,CK-12325,3,0.2000,40.37,74.76,59.81,19.44,34.39,14.95,19.94,13.46,6.48
CA-2014-104563,FUR-CH-10002780,CM-12715,6,0.2000,414.86,545.88,436.70,21.84,131.01,109.18,72.78,69.14,3.64
CA-2014-104563,FUR-CH-10004495,CM-12715,2,0.2000,427.39,601.96,481.57,54.18,174.57,120.39,240.79,213.70,27.09
CA-2014-104563,OFF-AR-10000390,CM-12715,5,0.0000,11.15,20.65,20.65,9.50,9.50,0.00,4.13,2.23,1.90
CA-2014-104563,OFF-ST-10000934,CM-12715,5,0.0000,204.90,204.90,204.90,0.00,0.00,0.00,40.98,40.98,0.00
CA-2014-104738,OFF-BI-10002160,SP-20620,3,0.8000,5.95,11.45,2.29,-3.66,5.50,9.16,0.76,1.98,-1.22
CA-2014-104738,OFF-EN-10004955,SP-20620,3,0.2000,8.27,16.23,12.98,4.71,7.95,3.25,4.33,2.76,1.57
CA-2014-104738,TEC-AC-10003628,SP-20620,2,0.2000,33.58,59.98,47.98,14.40,26.39,12.00,23.99,16.79,7.20
CA-2014-104738,TEC-PH-10000576,SP-20620,3,0.2000,300.01,410.98,328.78,28.77,110.96,82.20,109.59,100.00,9.59
CA-2014-104738,TEC-PH-10002468,SP-20620,2,0.2000,198.54,271.98,217.58,19.04,73.43,54.40,108.79,99.27,9.52
CA-2014-104773,OFF-ST-10000777,TB-21175,2,0.2000,54.38,75.53,60.42,6.04,21.15,15.11,30.21,27.19,3.02
CA-2014-104780,OFF-AR-10003514,BT-11530,8,0.0000,21.33,31.84,31.84,10.51,10.51,0.00,3.98,2.67,1.31
CA-2014-104808,OFF-BI-10003676,MH-17440,2,0.2000,11.21,21.56,17.25,6.04,10.35,4.31,8.63,5.61,3.02
CA-2014-104829,OFF-PA-10003016,JG-15805,7,0.0000,12.09,21.98,21.98,9.89,9.89,0.00,3.14,1.73,1.41
CA-2014-104976,OFF-PA-10003845,CK-12760,6,0.0000,17.69,34.68,34.68,16.99,16.99,0.00,5.78,2.95,2.83
CA-2014-105165,FUR-TA-10004154,SZ-20035,1,0.3000,223.75,286.86,200.80,-22.95,63.11,86.06,200.80,223.75,-22.95
CA-2014-105165,OFF-AR-10003179,SZ-20035,3,0.2000,18.31,27.33,21.86,3.55,9.02,5.47,7.29,6.10,1.18
CA-2014-105165,OFF-BI-10000050,SZ-20035,2,0.8000,7.74,14.60,2.92,-4.82,6.86,11.68,1.46,3.87,-2.41
CA-2014-105165,TEC-AC-10002718,SZ-20035,4,0.2000,49.61,58.36,46.69,-2.92,8.75,11.67,11.67,12.40,-0.73
CA-2014-105165,TEC-PH-10000675,SZ-20035,3,0.2000,182.02,245.98,196.78,14.76,63.95,49.20,65.59,60.67,4.92
CA-2014-105172,OFF-LA-10001641,PK-18910,6,0.0000,9.83,18.90,18.90,9.07,9.07,0.00,3.15,1.64,1.51
CA-2014-105249,FUR-BO-10000330,DH-13675,4,0.1500,416.17,483.92,411.33,-4.84,67.75,72.59,102.83,104.04,-1.21
CA-2014-105249,OFF-LA-10002043,DH-13675,4,0.0000,21.53,41.40,41.40,19.87,19.87,0.00,10.35,5.38,4.97
CA-2014-105249,OFF-SU-10001225,DH-13675,2,0.0000,7.21,7.36,7.36,0.15,0.15,0.00,3.68,3.61,0.07
CA-2014-105270,FUR-CH-10000988,AP-10915,1,0.2000,101.39,140.81,112.65,11.26,39.43,28.16,112.65,101.39,11.26
CA-2014-105270,OFF-AR-10003156,AP-10915,3,0.0000,22.56,30.48,30.48,7.92,7.92,0.00,10.16,7.52,2.64
CA-2014-105340,OFF-BI-10001765,EH-14185,1,0.8000,18.01,34.65,6.93,-11.08,16.64,27.72,6.93,18.01,-11.08
CA-2014-105417,FUR-FU-10004864,VS-21820,3,0.6000,130.44,191.83,76.73,-53.71,61.39,115.10,25.58,43.48,-17.90
CA-2014-105417,OFF-BI-10003708,VS-21820,7,0.8000,28.68,52.15,10.43,-18.25,23.47,41.72,1.49,4.10,-2.61
CA-2014-105648,FUR-TA-10002958,EJ-14155,3,0.2000,649.84,782.94,626.35,-23.49,133.10,156.59,208.78,216.61,-7.83
CA-2014-105872,OFF-BI-10003684,JG-15160,4,0.2000,43.98,87.96,70.37,26.39,43.98,17.59,17.59,11.00,6.60
CA-2014-105893,OFF-ST-10004186,PK-19075,6,0.0000,652.56,665.88,665.88,13.32,13.32,0.00,110.98,108.76,2.22
CA-2014-105984,FUR-CH-10000847,MY-18295,3,0.3000,645.98,872.94,611.06,-34.92,226.97,261.88,203.69,215.33,-11.64
CA-2014-105984,TEC-PH-10000560,MY-18295,5,0.4000,1259.96,1749.95,1049.97,-209.99,489.99,699.98,209.99,251.99,-42.00
CA-2014-106054,OFF-AR-10002399,JO-15145,3,0.0000,7.54,12.78,12.78,5.24,5.24,0.00,4.26,2.51,1.75
CA-2014-106229,FUR-TA-10002041,NR-18550,3,0.5000,478.71,537.88,268.94,-209.77,59.17,268.94,89.65,159.57,-69.92
CA-2014-106264,FUR-FU-10001852,CK-12595,2,0.0000,2.37,3.48,3.48,1.11,1.11,0.00,1.74,1.18,0.56
CA-2014-106264,OFF-SU-10002189,CK-12595,3,0.0000,11.79,11.91,11.91,0.12,0.12,0.00,3.97,3.93,0.04
CA-2014-106376,OFF-AR-10002671,BS-11590,8,0.2000,1001.72,1391.28,1113.02,111.30,389.56,278.26,139.13,125.21,13.91
CA-2014-106376,TEC-PH-10002726,BS-11590,4,0.2000,104.98,209.96,167.97,62.99,104.98,41.99,41.99,26.25,15.75
CA-2014-106439,FUR-CH-10003833,GG-14650,3,0.2000,155.50,182.94,146.35,-9.15,27.44,36.59,48.78,51.83,-3.05
CA-2014-106439,OFF-AR-10001419,GG-14650,3,0.0000,8.67,12.39,12.39,3.72,3.72,0.00,4.13,2.89,1.24
CA-2014-106439,OFF-BI-10002571,GG-14650,2,0.2000,10.58,19.96,15.97,5.39,9.38,3.99,7.99,5.29,2.69
CA-2014-106439,OFF-BI-10004209,GG-14650,3,0.2000,13.27,24.13,19.30,6.03,10.86,4.83,6.43,4.42,2.01
CA-2014-106439,OFF-FA-10002975,GG-14650,3,0.0000,6.12,11.34,11.34,5.22,5.22,0.00,3.78,2.04,1.74
CA-2014-106439,OFF-PA-10000477,GG-14650,13,0.0000,34.31,64.74,64.74,30.43,30.43,0.00,4.98,2.64,2.34
CA-2014-106439,OFF-ST-10001963,GG-14650,4,0.0000,393.47,405.64,405.64,12.17,12.17,0.00,101.41,98.37,3.04
CA-2014-106439,OFF-ST-10003996,GG-14650,5,0.0000,59.42,80.30,80.30,20.88,20.88,0.00,16.06,11.88,4.18
CA-2014-106439,TEC-AC-10004568,GG-14650,9,0.0000,204.05,251.91,251.91,47.86,47.86,0.00,27.99,22.67,5.32
CA-2014-106572,OFF-ST-10000585,NP-18700,2,0.2000,244.50,330.40,264.32,19.82,85.90,66.08,132.16,122.25,9.91
CA-2014-106719,OFF-BI-10002799,RB-19645,2,0.2000,5.60,10.36,8.29,2.69,4.77,2.07,4.15,2.80,1.35
CA-2014-106726,OFF-ST-10001496,RS-19765,7,0.0000,933.38,1261.33,1261.33,327.95,327.95,0.00,180.19,133.34,46.85
CA-2014-106803,OFF-ST-10002444,DC-13285,2,0.0000,17.68,24.56,24.56,6.88,6.88,0.00,12.28,8.84,3.44
CA-2014-106803,TEC-AC-10001267,DC-13285,4,0.0000,71.88,119.80,119.80,47.92,47.92,0.00,29.95,17.97,11.98
CA-2014-106810,FUR-FU-10004306,AJ-10795,2,0.2000,287.56,388.60,310.88,23.32,101.04,77.72,155.44,143.78,11.66
CA-2014-106971,TEC-AC-10000844,BM-11785,7,0.2000,380.75,594.93,475.94,95.19,214.17,118.99,67.99,54.39,13.60
CA-2014-107139,OFF-BI-10001670,DP-13390,6,0.2000,113.10,226.20,180.96,67.86,113.10,45.24,30.16,18.85,11.31
CA-2014-107153,OFF-ST-10001321,GZ-14545,3,0.0000,33.77,46.26,46.26,12.49,12.49,0.00,15.42,11.26,4.16
CA-2014-107181,OFF-BI-10004230,DB-13270,3,0.2000,53.89,103.63,82.90,29.01,49.74,20.73,27.63,17.96,9.67
CA-2014-107398,OFF-BI-10001982,BS-11590,4,0.7000,11.10,21.77,6.53,-4.57,10.67,15.24,1.63,2.77,-1.14
CA-2014-107398,OFF-BI-10002103,BS-11590,8,0.7000,37.54,69.53,20.86,-16.68,31.99,48.67,2.61,4.69,-2.09
CA-2014-107398,OFF-BI-10004141,BS-11590,3,0.7000,5.15,9.53,2.86,-2.29,4.38,6.67,0.95,1.72,-0.76
CA-2014-107454,FUR-FU-10004018,RD-19720,6,0.0000,65.22,89.34,89.34,24.12,24.12,0.00,14.89,10.87,4.02
CA-2014-107454,OFF-LA-10001569,RD-19720,7,0.0000,18.82,34.86,34.86,16.04,16.04,0.00,4.98,2.69,2.29
CA-2014-107524,OFF-EN-10001990,KN-16705,2,0.0000,6.02,11.36,11.36,5.34,5.34,0.00,5.68,3.01,2.67
CA-2014-107524,OFF-PA-10000587,KN-16705,5,0.0000,18.93,36.40,36.40,17.47,17.47,0.00,7.28,3.79,3.49
CA-2014-107573,OFF-EN-10001099,PB-19150,3,0.2000,15.84,29.34,23.47,7.63,13.50,5.87,7.82,5.28,2.54
CA-2014-107594,OFF-AR-10000716,EH-13945,1,0.0000,3.40,5.58,5.58,2.18,2.18,0.00,5.58,3.40,2.18
